Town,Crimes,Population,Ethnicity,Policing needed
Rivertowna,439,15418,0.4086152579,0
Skyhaven,94,2843,0.06148549127,0
Verdantville,181,13115,0.5779420243,0
Crystal Springs,614,11755,0.1539641729,0
Starfall Heights,1641,23137,0.1242553043,1
Thundergate,1631,21086,0.6469487868,1
Harmony Harbor,526,21808,0.8850449579,0
Aurora Bay,515,9864,0.7049031816,0
Meadowbrook,459,12659,0.769148705,0
Ironridge,3701,32372,0.4107733784,1
Serenity Peaks,6233,45270,0.4839637613,1
Emberwood,2838,39488,0.52471864,1
Crescent Cove,8847,42443,0.6477672133,1
Havenbrook,5118,29960,0.6189284494,1
Solstice City,6440,39402,0.4154910285,1
Cascade Falls,1671,40620,0.7344197932,1
Frostholm,1464,30033,0.3605249139,1
Velvet Valley,1578,45438,0.5227960746,1
Quicksilver Ridge,1688,44288,0.7565713208,1
Willowbrook,305,11675,0.6239838822,0
Whispering Pines,752,27984,0.7731711921,0
Brookside,598,17653,0.79858676,0
Sunflower Fields,819,33201,0.4139334767,0
Silverlake,936,29580,0.2908625424,0
Tranquil Haven,371,13899,0.8129967254,0
Maplewood,250,10237,0.05868611202,0
Oakridge,1312,17245,0.3691464815,1
Crystal Lake,1693,24567,0.2178674018,1
Evergreen Heights,227,2345,0.4589234004,0
Moonlight Bay,415,2915,0.8714034607,0
Oceanview,220,2574,0.1485087138,0
Riverview,489,6782,0.1615767562,0
Amberwood,191,1576,0.5305536018,0
Pinecrest,272,2964,0.7317625796,0
Willowdale,208,8824,0.01312819539,0
Misty Hollow,116,1697,0.5722742062,0
Serene Shores,14,1793,0.8546248894,0
Diamond Ridge,3234,36492,0.6842441447,1
Sunrise Valley,569,19234,0.2968485156,0
Brookhaven,340,13924,0.62927521,0
Woodland Grove,2912,32409,0.6220160016,1
Lakeside Retreat,749,23571,0.5355240644,0
Rosewood,127,4978,0.2900420751,0
Shadowbrook,602,19072,0.1253215162,0
Springvale,1298,10472,0.8555157274,1
Ember Ridge,1509,37283,0.6431039841,1
Moonlit Meadows,3894,34719,0.4360140063,1
Wildflower Junction,267,8923,0.1746419125,0
Echo Falls,1194,41638,0.710884401,1
Birchwood,345,12984,0.06396800723,0
Autumn Glen,478,16329,0.01659376496,0
Suncrest,1267,32841,0.6130770577,1
